BODY CONDITION,BASE TAIL CIRCUMFERENCE (BTC),BTC:STL,BODY SIZE,EYE TO EAR LENGTH (EEL),EEL: SKULL LENGTH,EEL:STL,SKULL LENGTH (SL),SL:STL,SKULL WIDTH (SW),SW:STL,SW:SL,SNOUT-TAIL-LENGTH (STL) ,SNOUT-VENT-LENGTH (SVL),TAIL LENGTH (TL),TL:STL,THIGH WIDTH (TW),TW:STL,WEIGHT,"SEX (male= 0, female= 1)"
0.025304878,20.5,0.125,0.97504,3.6,0.330275229,0.02195122,10.9,0.066463415,18.6,0.113414634,1.706422018,164,64.3,99.7,0.607926829,15.6,0.095121951,4.15,1
0.021809896,19.5,0.126953125,0.23863,3.5,0.339805825,0.022786458,10.3,0.067057292,17.5,0.113932292,1.699029126,153.6,58.2,95.4,0.62109375,14.5,0.094401042,3.35,1
0.013828868,14.3,0.123595506,-1.9082,3,0.344827586,0.025929127,8.7,0.075194468,14.1,0.121866897,1.620689655,115.7,48.2,67.5,0.583405359,11.6,0.100259291,1.6,1
0.044801642,22.4,0.153214774,1.5071,3.5,0.315315315,0.023939808,11.1,0.075923393,18.6,0.127222982,1.675675676,146.2,64.9,81.3,0.556087551,18.4,0.125854993,6.55,1
0.026708075,19.5,0.121118012,1.08168,4,0.357142857,0.02484472,11.2,0.069565217,17.8,0.110559006,1.589285714,161,64.3,96.7,0.600621118,16,0.099378882,4.3,1
0.020543406,17.4,0.115308151,-0.39296,3,0.297029703,0.019880716,10.1,0.066931743,16.4,0.108681246,1.623762376,150.9,57.4,93.5,0.619615639,13.3,0.08813784,3.1,1
0.015602837,16.2,0.114893617,-0.77503,3.3,0.326732673,0.023404255,10.1,0.071631206,15.5,0.109929078,1.534653465,141,55,86,0.609929078,12.4,0.087943262,2.2,0
0.018045113,17.2,0.129323308,-0.76158,3.2,0.347826087,0.02406015,9.2,0.069172932,16,0.120300752,1.739130435,133,52,81,0.609022556,14.9,0.112030075,2.4,1
0.019518272,14.8,0.122923588,-1.76386,2.9,0.333333333,0.024086379,8.7,0.072259136,13.6,0.112956811,1.563218391,120.4,46.1,74.3,0.617109635,12.7,0.105481728,2.35,1
0.024526198,15,0.11148272,-0.94674,3.2,0.347826087,0.02378298,9.2,0.068376068,14.9,0.110739502,1.619565217,134.55,51.7,82.85,0.615756224,13.8,0.102564103,3.3,0
0.01458671,15.4,0.124797407,-1.72674,2.9,0.333333333,0.02350081,8.7,0.070502431,14.3,0.115883306,1.643678161,123.4,48.9,74.5,0.603727715,11.9,0.09643436,1.8,1
0.019379845,17.4,0.134883721,-1.11671,3,0.319148936,0.023255814,9.4,0.072868217,14.5,0.112403101,1.542553191,129,52.3,76.7,0.594573643,13,0.100775194,2.5,1
0.025543992,17.4,0.16461684,-0.9654,3.2,0.329896907,0.030274361,9.7,0.091769158,16.4,0.155156102,1.690721649,105.7,50.4,55.3,0.523178808,13.8,0.130558184,2.7,1
0.015981735,15.4,0.117199391,-1.3671,3,0.344827586,0.02283105,8.7,0.066210046,15.2,0.115677321,1.747126437,131.4,51.7,79.7,0.606544901,12.6,0.095890411,2.1,0
0.022754491,24,0.143712575,0.97581,3.6,0.336448598,0.021556886,10.7,0.064071856,18,0.107784431,1.682242991,167,63,104,0.622754491,15,0.089820359,3.8,0
0.017692308,16,0.123076923,-1.60177,2.8,0.314606742,0.021538462,8.9,0.068461538,14.5,0.111538462,1.629213483,130,48.3,81.7,0.628461538,11.4,0.087692308,2.3,1
0.021283784,17.9,0.120945946,0.11569,3.6,0.336448598,0.024324324,10.7,0.072297297,16.4,0.110810811,1.53271028,148,59.7,88.3,0.596621622,14.6,0.098648649,3.15,0
0.016930023,15.4,0.115876599,-1.00054,3.2,0.336842105,0.024078254,9.5,0.071482318,15.4,0.115876599,1.621052632,132.9,54.5,78.4,0.589917231,13,0.097817908,2.25,1
0.03119482,23.6,0.138905238,2.01368,4,0.338983051,0.023543261,11.8,0.069452619,18.5,0.108887581,1.56779661,169.9,69.1,100.8,0.593290171,18.4,0.108298999,5.3,0
0.030633803,17.5,0.123239437,-0.18377,3.5,0.35,0.024647887,10,0.070422535,15,0.105633803,1.5,142,66,76,0.535211268,12,0.084507042,4.35,0
